Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituição (Nome);Instituicao;nomeUnidadeRecente;nomeIdCurso;tipoCurso;tipoOferta;ModalidadeEnsino;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente | Geral
2022;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Meio Ambiente (Técnico);Técnico;Subsequente;Educação Presencial;1;24;24;95;72;25;73,44
2022;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Integrado;Educação Presencial;1;12;35;150;194;35;208,16199999999998
2022;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Subsequente;Educação Presencial;1;7;21;142;67;21;71,89099999999999
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Computação (Licenciatura);Licenciatura;Não se aplica;Educação Presencial;1;;;;108;;108
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Qualificação Profissional - Desenvolvimento Educacional e Social (Qualificação Profissional (FIC));Qualificação Profissional (FIC);Não se aplica;Educação a Distância;1;110;;;110;;4,125
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Qualificação Profissional - Informação e Comunicação (Qualificação Profissional (FIC));Qualificação Profissional (FIC);Não se aplica;Educação a Distância;1;15;55;55;55;55;5,5
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Integrado;Educação Presencial;1;11;;;162;;185,652
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Subsequente;Educação Presencial;1;9;;;59;;67,61399999999999
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Integrado;Educação Presencial;1;8;;;155;;163,215
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Subsequente;Educação Presencial;1;14;;;45;;47,385
